no,name,code,gu,zip,tel,fax,www,hr,off,class,lati,longi,year
1525,푸른 도서관,4,동작구,서울특별시 동작구 성대로1길 13 그림마당어린이집 2층,,,http://cafe.naver.com/bookcafe4u,,토요일일요일,작은도서관,37.5009916,126.933551,20141001
1881,하늘 숲 작은도서관,4,동작구,서울특별시 동작구 알마타길 21-42 대방교회,,,,,매주 금요일 일요일,작은도서관,37.511716,126.927735,
453,하늘사다리문고,4,동작구,서울특별시 동작구 현충로 119 B상가 207호 (명수대현대아파트),070-4070-7551,,http://lib.dongjak.go.kr/,,토요일공휴일(일요일제외),작은도서관,37.5085833,126.966985,20040825
468,한숲문고,4,동작구,서울특별시 동작구 알마타길 37 대방1차e-편한세상,02-813-4262,813-4263,http://lib.dongjak.go.kr/,,매주 토일 및 법정공휴일,작은도서관,37.5116391,126.928458,20050305
455,행복한래미안 작은도서관,4,동작구,서울특별시 동작구 상도로53길 8 (래미안상도3차아파트) 관리사무소 ,02-822-3720,,http://lib.dongjak.go.kr/,,매주 토요일 일요일,작은도서관,37.50086213,126.9540534,20060511
458,헤브론문고,4,동작구,서울특별시 동작구 상도로 217-10  헤브론교회,02-824-0186,824-0186,http://hebron.or.kr/,,일요일,작은도서관,37.5068392,126.942581,20071129
444,흑석동 작은도서관,4,동작구,서울특별시 동작구 흑석한강로 11 (흑석동) 흑석동주민센터 ,02-820-2561,817-4676,http://lib.dongjak.go.kr/,,매주 토요일 일요일,작은도서관,37.50577862,126.9665908,20010101
1475,공감작은도서관,11,마포구,서울특별시 마포구 백범로 169-19 공감작은도서관,02-717-0709,,,,월요일일요일,작은도서관,37.546425,126.949928,20140404
1476,공덕동문고(마실길북카페),11,마포구,서울특별시 마포구 만리재옛길 84 공덕동주민센터,02-3153-6516,,http://lib.mapo.go.kr/,,토일요일,작은도서관,37.550074,126.960012,20130327
1885,꿈나래어린이영어도서관,11,마포구,서울특별시 마포구 월드컵로13길 80(망원동),02-323-1840,,http://www.mplib.mapo.go.kr,,매주 일요일 및 법정공휴일,작은도서관,37.555191,126.905711,
1626,꿈빛도서관,11,마포구,서울특별시 마포구 희우정로 109 화평교회 3층,02-335-0911,,,,월요일 공휴일,작은도서관,37.5544966,126.9010261,
470,꿈을이루는작은도서관,11,마포구,서울특별시 마포구 마포대로 7길 18 아현동 주민센터 2층,02-706-4785,706-4785,http://www.mplib.mapo.go.kr,,매주 일요일 및 법정공휴일,작은도서관,37.547,126.952183,20080514
2085,꿈의숲작은도서관,11,마포구,서울특별시 마포구 상암산로1길 69 4층 (상암동),02-375-2345,,,,일요일공휴일,작은도서관,37.58014478,126.8834609,
1828,남북하나재단 북한전문자료실,11,마포구,서울특별시 마포구 새창로 7 SNU빌딩 45층,02-3215-5785,,www.nkrf.re.kr,,매주 토요일일요일 법정공휴일 창립기념일,,37.5424246,126.9508969,
471,늘푸른소나무작은도서관,11,마포구,서울특별시 마포구 백범로 227 2층,02-718-4785,718-4785,http://www.mplib.mapo.go.kr,,매주 일요일 및 법정공휴일,작은도서관,37.542339,126.955431,20080513
1483,담쟁이 작은도서관,11,마포구,서울특별시 마포구 포은로6길 25 2층,02-336-9360,02-336-9360,,,월요일일요일,작은도서관,37.5560205,126.906336,20141229
2086,도란도란 Books,11,마포구,서울특별시 마포구 새창로4길 25,02-716-0690,,,,일요일공휴일,작은도서관,37.54100967,126.9512136,
2087,래미안밤섬리베뉴I아파트 채움작은도서관,11,마포구,서울특별시 마포구 독막로20나길 22(상수동 래미안 밤섬리베뉴Ⅰ),02-334-5601,,,,일요일공휴일,작은도서관,37.5460703,126.924894,
90,마포구립서강도서관,11,마포구,서울특별시 마포구 독막로 165,02-3141-7053,,http://www.mplib.mapo.go.kr/sglib,,매주 화요일 및 법정공휴일,공공도서관,37.547717,126.932061,
1382,마포구립하늘도서관,11,마포구,서울특별시 마포구 월드컵로 212 마포구청 12층,02-3153-6260,,http://www.mplib.mapo.go.kr,,매주금요일및법정공휴일,공공도서관,37.566192,126.90167,20131112
1884,마포어린이영어도서관,11,마포구,서울특별시 마포구 도화4길 53 (도화동),02-716-3987~8,,http://www.mplib.mapo.go.kr,,매주 일요일 및 법정공휴일,작은도서관,37.539446,126.951867,
1927,마포중앙도서관,11,마포구,서울특별시 마포구 성산로 128(성산동),02-3153-5800,,http://www.mplib.mapo.go.kr,,매주월요일및법정공휴일,공공도서관,37.563668,126.906756,20171115
1882,마포푸르메어린이도서관,11,마포구,서울특별시 마포구 월드컵북로 494 푸르메재단 넥슨어린이재활병원 1층,02-6070-9286,,http://www.mplib.mapo.go.kr,,매주 일요일 및 법정공휴일,공공도서관,37.583075,126.87813,
1477,복사골작은도서관,11,마포구,서울특별시 마포구 도화4길 53,02-716-5800,,http://www.mplib.mapo.go.kr,,매주 일요일 및 법정공휴일,작은도서관,37.539446,126.951867,20130215
1478,북트립어린이영어도서관,11,마포구,서울특별시 마포구 서강대길 3 서강빌딩 2층,02-3274-0505,,,,일요일,작은도서관,37.5505486,126.939369,20140704
486,상암동문고,11,마포구,서울특별시 마포구 매봉산로2길 16 상암동주민센터,02-3153-6966,,http://lib.mapo.go.kr,,토일요일공휴일,작은도서관,37.5788373,126.894649,20010101
1311,상암월드컵파크 7단지 도서관,11,마포구,서울특별시 마포구 상암산로1길 92(상암월드컵파크7단지),02-374-9583,6371-8700,,,일요일 공휴일,작은도서관,37.5823472,126.881448,20120209
1479,상암월드컵파크11단지도서관,11,마포구,서울특별시 마포구 월드컵북로 502-37 상암월드컵파크 1단지 내,02-302-5930,,,,토일요일,작은도서관,37.5895595,126.881751,20120403
481,서교동문고,11,마포구,서울특별시 동교로 15길 7 서교주민센터,02-323-1810,,http://lib.mapo.go.kr/,,토일요일 공휴일,작은도서관,37.5564041,126.914564,20100101
13,서울특별시교육청마포평생학습관,11,마포구,서울특별시 마포구 홍익로2길 16,02-2137-0000,3142-5637,http://mpllc.sen.go.kr,,매월 둘째 넷째 월요일,공공도서관,37.554269,126.924227,19800711
14,서울특별시교육청마포평생학습관 아현분관,11,마포구,서울특별시 마포구 마포대로 224,02-362-8785,393-1586,http://ahyon.sen.go.kr,,매월 둘째 넷째 월요일,공공도서관,37.553994,126.957313,
" 	&nbsp;</p>",,,,,,,,,,,,,
" <p class=""바탕글"">",,,,,,,,,,,,,
" 	&nbsp;</p>",,,,,,,,,,,,,
" <p class=""바탕글"">",,,,,,,,,,,,,
" 	<span style=""font-family: 바탕;"">저희 마포평생학습관 아현분관은</span></p>",,,,,,,,,,,,,
" <p class=""바탕글"">",,,,,,,,,,,,,
" 	<span style=""font-family: 바탕;"">첫째 21세기 문화 창조와 열린 학습을 위하여 지식 정보를 제공하고 평생학습프로그램을 운영하겠습니다.</span></p>",,,,,,,,,,,,,
" <p class=""바탕글"">",,,,,,,,,,,,,
" 	<span style=""font-family: 바탕;"">이를 통해 모두가 행복한 내일을 기대하고 희망을 충전할 수 있는 평생학습 사회를 실현하고자 합니다.</span></p>",,,,,,,,,,,,,
" <p class=""바탕글"">",,,,,,,,,,,,,
" 	<span style=""font-family: 바탕;"">둘째 배움과 지식 그리고 정보가 어우러진 우리 아현 분관은 이용자 중심의 다가서는 서비스를 제공하겠습니다.</span></p>",,,,,,,,,,,,,
" <p class=""바탕글"">",,,,,,,,,,,,,
" 	<span style=""font-family: 바탕;"">이러한 서비스를 통해 지역사회의 정보제공 및 자기 계발을 위한 열린 문화 교육 공간으로서 최선을 다하겠습니다.</span></p>",,,,,,,,,,,,,
" <p class=""바탕글"">",,,,,,,,,,,,,
" 	<span style=""font-family: 바탕;"">많은 관심과 이용 부탁드리겠습니다.</span></p>",,,,,,,,,,,,,
 <p>,,,,,,,,,,,,,
" 	- 연 혁 -</p>",,,,,,,,,,,,,
 <p>,,,,,,,,,,,,,
" 	<span>2012.07.02 </span>리모델링 공사 후 재개관</p>",,,,,,,,,,,,,
 <p>,,,,,,,,,,,,,
" 	<span>1995.06.22</span> 마포도서관 확장 이전 신축 개관(서교동 341-1번지) 구 마포도서관은 마포도서관 아현분관으로 개칭</p>",,,,,,,,,,,,,
 <p>,,,,,,,,,,,,,
" 	<span>1994.10.25</span> 마포도서관 위치 변경과 마포도서관 아현분관 설치조례 공포</p>",,,,,,,,,,,,,
 <p>,,,,,,,,,,,,,
" 	<span>1991.01.02</span> 마포도서관 이전 추진</p>",,,,,,,,,,,,,
 <p>,,,,,,,,,,,,,
" 	<span>1981.11.02 </span>서부교육청 이전으로 확장 개관</p>",,,,,,,,,,,,,
 <p>,,,,,,,,,,,,,
" 	<span>1980.07.12</span> 국립중앙도서관 마포도서관 아현분관 인수</p>",,,,,,,,,,,,,
 <p>,,,,,,,,,,,,,
" 	<span>1980.07.11</span> 서울시 조례 제1444호 마포도서관 설치 공고</p>",,,,,,,,,,,,,
" """,19800711,"＊ 서울시교육청 산하 서울시립공공도서관 및 평생학습관(22개관)의 통합회원으로 가입됨 ＊ 서울시립공공도서관에서 소장하고 있는 자료를 총 30권까지(아현분관의 자료는 5권) 무료로 대출가능 ＊ 가입대상 : 서울시 주민등록 등재자 서울소재 학생 및 직장인 재외국인  ＊ 가입 시 구비서류    - 일반인 : 거주확인 가능한 신분증(주민등록증 운전면허증)   - 유아·초·중·고생 : 주민등록등본    - 서울소재 학생 및 직장인 : 재학증명서 재직증명서    - 재외국인 : 국내거소신고증 또는 외국인등록증  ＊ 가입방법 : 도서관 홈페이지에서 회원가입 후 도서관 방문 시 신분증 제시(재학 및 재직증명서 제출) ＊ 회원가입 즉시 자료 대출 가능  ","＊ 대출 권수 : 1인 5권  ＊ 정기간행물 대출 : 과월호에 한하여 1권 대출가능. 정기간행물 대출권수는 1인 대출권수인 5권에 포함됨 ","＊ 지하철이용   - 5호선 애오개역 3번 출구 도보로 1분    - 2호선 아현역 3번출구 아현초등학교 방향 도보로 5분  ＊ 버스이용   - 파랑(간선)버스 : 160 260 600    - 초록(지선)버스 : 7013A 7013B 7611    - 빨강(광역)버스 : 2300 2400 2500 2100    - 일반 버스 : 1002 631  ＊ 정 류 장 : 마포경찰서(애오개역 1번출구)             아현초등학교(애오개역 3번출구)  ＊ 주차안내   - 별도의 주차시설이 없으므로 반드시 대중교통을 이용하여 주시기 바랍니다.                                                                                                                  ","＊ 3층 제1학습실 제2학습실 휴게실  ＊ 2층 문헌정보실 (디지털자료실 포함) 시청각실  ＊ 1층 분관장실 사무실 어린이실 평생학습교실 안내실                                                                                                          ",,,,,,,,
472,성메작은도서관,11,마포구,서울특별시 마포구 월드컵북로30길 22 성산2동주민센터 2층,02-373-4785,070-4725-5080,http://www.mplib.mapo.go.kr,,매주 일요일 및 법정공휴일,작은도서관,37.568604,126.909026,20080515
485,성산1동문고,11,마포구,서울특별시 마포구 성산로4길 15 성산1동주민센터,02-322-2396,,http://lib.mapo.go.kr/,,토 일요일 공휴일,작은도서관,37.56469,126.907841,20100101
475,성산글마루작은도서관,11,마포구,서울특별시 마포구 월드컵북로 235,02-373-2900,,http://www.mplib.mapo.go.kr,,매주 일요일 및 법정공휴일,작은도서관,37.568928,126.902731,20111213
490,솔로몬도서관,11,마포구,서울특별시 마포구 토정로32길 13 삼성상가 3층,02-717-8611,719-3529,http://cafe.daum.net/solombook,,월요일일요일,작은도서관,37.5399579,126.941316,20080220
479,신수동문고,11,마포구,서울특별시 마포구 독막로 192 신수동주민센터,02-3153-6680,,http://lib.mapo.go.kr/,,토일요일 공휴일,작은도서관,37.5476529,126.9351,20100101
1627,쎌북 작은도서관,11,마포구,서울특별시 마포구 신촌로 12길 11 신촌성결교회,02-334-6080,,,,월요일 공휴일,작은도서관,37.5560892,126.9331571,
473,아름드리작은도서관,11,마포구,서울특별시 마포구 방울내로7길 11 망원2동 주민센터 1층,02-322-8639,322-8639,http://www.mplib.mapo.go.kr,,매주 일요일 및 법정공휴일,작은도서관,37.560309,126.902327,20091218
492,아이도북센터,11,마포구,서울특별시 마포구 만리재로 29 사랑의전화종합사회복지관 아이도북센터,02-6371-1059,6371-6677,,,일요일공휴일,작은도서관,37.5453108,126.954555,20070612
2088,엠앤엠(M&M)작은영어도서관,11,마포구,서울특별시 마포구 신촌로 162,02-715-2219,,,,월요일 공휴일,작은도서관,37.55631971,126.943716,
484,연남동문고,11,마포구,서울특별시 마포구 성미산로29길 17-9 연남동주민센터,02-3153-6875,,http://lib.mapo.go.kr/,,토일요일 공휴일,작은도서관,37.5655893,126.921977,20100101
478,염리동문고,11,마포구,서울특별시 마포구 숭문길 14 염리동주민센터,02-3153-6663,,http://lib.mapo.go.kr/,,토일요일공휴일,작은도서관,37.5476127,126.94564,20000101
488,염산문고,11,마포구,서울특별시 마포구 대흥로24바길 21 염산교회,02-717-9176,716-3640,,,토요일 일요일만 운영,작은도서관,37.5542986,126.949032,20050101
489,옹달샘어린이도서관,11,마포구,서울특별시 마포구 월드컵로7길 41,02-6085-9413,6085-9413,,,일요일공휴일,작은도서관,37.5535499,126.909752,20050222
1312,와글와글작은도서관,11,마포구,서울특별시 마포구 월드컵북로 198 3층,070-4176-5959,373-2255,cafe.daum.net/book-play,,일요일공휴일,작은도서관,37.5692196,126.907001,20120107
477,용강동작은도서관,11,마포구,서울특별시 마포구 토정로31길 31 용강동 복합청사 2층,02-716-4785,3273-4785,http://www.mplib.mapo.go.kr,,매주 일요일 및 법정공휴일,작은도서관,37.54222,126.942611,20150413
1628,이야기숲,11,마포구,서울특별시 마포구 성미산로23길 46 연남교회 1층,070-4069-5025,,,,,작은도서관,37.5653603,126.9205011,
2089,자이열린작은도서관,11,마포구,서울특별시 마포구 서강대길 40 103-402,02-703-9992,,,,일요일공휴일,작은도서관,37.548708,126.941941,
1481,초록리본도서관,11,마포구,서울특별시 마포구 동교로19길 4 2층,070-4676-5600,,www.lovinghands.or.kr,,일요일공휴일,작은도서관,37.5565474,126.918028,20131016
2084,초록숲작은도서관,11,마포구,서울특별시 마포구 마포대로11길 44-81 지하1층,02-313-4785,,http://www.mplib.mapo.go.kr,,매주 일요일 및 법정공휴일,작은도서관,37.55212803,126.9512969,
2090,푸른나무작은도서관,11,마포구,서울특별시 마포구 만리재로 48,02-704-9090,,,,일요일공휴일,작은도서관,37.5454373,126.9560856,
487,풀뿌리문고,11,마포구,서울특별시 마포구 월드컵북로 190 풀뿌리문고,02-302-4906,307-4907,,,월화목요일,작은도서관,37.5693231,126.907873,19980401
1482,하늘꿈작은도서관,11,마포구,서울특별시 마포구 숭문길 36 풍성한빌딩 풍성한교회,02-702-2787,,,,월요일화요일,작은도서관,37.5481447,126.9456812,20140324
2047,하늘샘작은도서관,11,마포구,서울특별시 마포구 포은로2가길 66,02-337-6629,,,,일요일공휴일,작은도서관,37.5494691,126.9097899,
1727,한국경영자총협회 자료실,11,마포구,서울특별시 마포구 백범로 88 경총회관 지하2층,02-3270-7317,,http://library.kefplaza.com/,,토요일 일요일 공휴일,,37.547902,126.941075,
1788,한국연구원 도서관,11,마포구,서울특별시 마포구 토정로31길 12 3층,02-737-1731,,http://www.riks.or.kr,,토요일 일요일 법정공휴일,,37.541414,126.942455,
1726,한국영상자료원 영상도서관,11,마포구,서울특별시 마포구 월드컵북로 400 한국영상자료원,02-3153-2051,,http://library.koreafilm.or.kr,,월요일 추석 설 1월1일,,37.580433,126.889476,
491,한사랑문고,11,마포구,서울특별시 마포구 월드컵북로 173-1 한사랑교회,02-304-5184,309-5184,,,월요일공휴일,작은도서관,37.567887,126.909084,20070529
1883,합정동문고,11,마포구,서울특별시 마포구 월드컵로5길 11 합정동주민센터,02-322-3460,,,,토 일요일 공휴일,작은도서관,37.551549,126.912115,
493,해오름문고,11,마포구,서울특별시 마포구 월드컵로42길 12(월드컵파크8단지),02-308-0287,309-0289,http://cafe.naver.com/sangam0287/,,일요일공휴일,작은도서관,37.5780549,126.882808,20090305
474,해오름작은도서관,11,마포구,서울특별시 마포구 신촌로26길 10 2층,02-714-8080,,http://www.mplib.mapo.go.kr,,매주 일요일 및 법정공휴일,작은도서관,37.555805,126.942139,20111215
2049,DMC래미안e편한세상아파트1블럭 작은도서관,14,서대문구,서울특별시 서대문구 수색로 100 1블럭 커뮤니티센터,02-302-3105,,,,일요일,작은도서관,37.574768,126.908492,
1629,남가좌1동 파랑새작은도서관,14,서대문구,서울특별시 서대문구 모래내로 15길 37 2층,02-330-8992,,http://lib.sdm.or.kr/introduce/introduce02_01.asp,,매주 일요일,작은도서관,37.5732751,126.9197795,
510,남가좌삼성래미안아파트푸른북카페,14,서대문구,서울특별시 서대문구 증가로 191 (삼성아파트),02-376-2743,376-2745,,,토일요일,작은도서관,37.578587,126.916554,20100510
108,남가좌새롬어린이도서관,14,서대문구,서울특별시 서대문구 증가로10길 16-15,02-360-8670,,http://lib.sdm.or.kr,,매주 월요일 및 법정 공휴일,공공도서관,37.578292,126.924035,20100507
1728,동북아역사재단 동북아역사자료실,14,서대문구,서울특별시 서대문구 통일로 81,02-2012-6034,,hflib.kr,,토요일 및 일요일 공휴일 재단이 정하는 휴관일,,37.562264,126.968846,
515,명지어린이 영어도서관,14,서대문구,서울특별시 서대문구 가좌로 117 명지대학교교회,02-303-2505,303-4596,www.mjuc.org,,월요일 토요일 일요일,작은도서관,37.5831713,126.925001,20100407
1630,봉원교회 샘뜰작은도서관,14,서대문구,서울특별시 서대문구 봉원사 2길 13 1층,02-392-6552,,,,토 일요일,작은도서관,37.5686912,126.9466953,
505,북가좌1동 늘푸른열린작은도서관,14,서대문구,서울특별시 서대문구 수색로 100-55,02-330-8554,,lib.sdm.or.kr,,토일요일,작은도서관,37.5745983,126.910141,20080101
1981,북가좌2동 가슴따뜻한작은도서관,14,서대문구,서울특별시 서대문구 응암로1길 10 북가좌2동주민센터 2층,02-330-8652,,http://lib.sdm.or.kr/,,일요일 공휴일,작은도서관,37.58149154,126.9111778,
1982,북가좌2동 이팝꽃향기작은도서관,14,서대문구,서울특별시 서대문구 불광천길 204,02-302-9798,,http://lib.sdm.or.kr,,일요일 공휴일,작은도서관,37.58373665,126.9109487,
1393,북아현 북카페,14,서대문구,서울특별시 서대문구 북아현로 24 북아현동주민센터,02-330-8672,,http://lib.sdm.or.kr,,토요일일요일,작은도서관,37.5605999,126.957013,20130122
1314,새솔도서실,14,서대문구,서울특별시 서대문구 북아현로19길 58-21 이화여대종합사회복지관,02-3277-3190,364-0708,,,토일요일,작은도서관,37.5641309,126.950669,20050525
40,서대문구립이진아기념도서관,14,서대문구,서울특별시 서대문구 독립문공원길 80,02-360-8600,02-360-8610,http://lib.sdm.or.kr,,매주 월요일 및 법정 공휴일,공공도서관,37.572933,126.955497,20050915
12,서울특별시교육청서대문도서관,14,서대문구,서울특별시 서대문구 모래내로 412,02-6948-2115,02-6948-2119,http://www.sdmlib.go.kr,,매월 첫째 셋째 화요일 법정공휴일(일요일제외),공공도서관,37.583403,126.941034,19861218
1631,세빛도서관,14,서대문구,서울특별시 서대문구 통일로 35길 18 2층,070-5001-4656,,,,월요일,작은도서관,37.587001,126.9455178,
1632,수화영상도서관,14,서대문구,서울특별시 서대문구 수색로 4가길 23 1층,02-3156-6699,,http://sdeaf.org/,,"토 일요일",작은도서관,37.5707003,126.9138249,
513,아낌없이 주는 나무,14,서대문구,서울특별시 서대문구 독립문로 12길 17 서은교회,02-312-5907,364-8291,,,월요일 일요일,작은도서관,37.5681631,126.961137,20060222
1472,어깨동무어린이도서관,14,서대문구,서울특별시 서대문구 거북골로 14길 32 DMC아이파크아파트 2층,02-302-3105,02-302-3107,,,일요일,작은도서관,37.57698902,126.9144888,20140808
496,연희동 아이누리작은도서관,14,서대문구,서울특별시 서대문구 증가로 13-10 자치회관,02-330-8775,,lib.sdm.or.kr,,일요일 공휴일,작은도서관,37.56930165,126.9308745,20090616
870,영광시각장애인모바일점자도서관,14,서대문구,서울특별시 서대문구 세검정로 78-19 2층,02-393-4568,02-392-1136,http://ygculture.com/,,없음,장애인도서관,37.59518742,126.9490268,20110315
1729,이화여자대학교박물관 전문도서관,14,서대문구,서울특별시 서대문구 이화여대길 52 이화여자대학교 박물관 내,02-3277-3676,,http://cms.ewha.ac.kr/user/indexSub.action?codyMenuSeq=1588706&siteId=museum&menuUIType=top,,토요일 일요일 공휴일,,37.564255,126.950308,
502,천연동 하늘샘작은도서관,14,서대문구,서울특별시 서대문구 독립문로 27 서대문구보건소천연분소,02-3140-8334,,lib.sdm.or.kr,,토 일요일,작은도서관,37.5698224,126.961306,20120723
511,천연뜨란채문고,14,서대문구,서울특별시 서대문구 독립문로8길 54 107동 관리동 (천연뜨란채),02-365-2800,6382-2801,,,매주 일요일,작은도서관,37.5678873,126.957991,20100510
495,충현동 알음알음작은도서관,14,서대문구,서울특별시 서대문구 경기대로 40 2층,02-330-8164,,lib.sdm.or.kr,,일요일 공휴일,작은도서관,37.5631752,126.96235,20020424
516,하늘샘 어린이도서관,14,서대문구,서울특별시 서대문구 가좌로 154,070-4060-0617,374-6168,http://sky.winbook.kr/,,월요일,작은도서관,37.5855582,126.9234323,20110303
2091,하뜰안도서관,14,서대문구,서울특별시 서대문구 가재울로 13,02-309-6477,,,,토 일요일,작은도서관,37.57369311,126.9221947,
500,햇살작은도서관,14,서대문구,서울특별시 서대문구 세검정로1길 45 홍은1동자치회관,02-330-8461,,lib.sdm.or.kr,,토일요일공휴일,작은도서관,37.593465,126.943907,20080101
501,행복작은도서관,14,서대문구,서울특별시 서대문구 모래내로 334 홍은2동주민센터,02-330-8788,330-8624,lib.sdm.or.kr,,토일요일공휴일,작은도서관,37.580683,126.934205,20080101
2048,홍은1동 햇살작은도서관,14,서대문구,서울특별시 서대문구 세검정로1길 45 홍은1동자치회관,02-330-8461,,lib.sdm.or.kr,,토일요일공휴일,작은도서관,37.59323535,126.9439056,
2050,홍은2동 행복작은도서관,14,서대문구,서울특별시 서대문구 모래내로 334 홍은2동주민센터,02-330-8788,,lib.sdm.or.kr,,토일요일공휴일,작은도서관,37.58010825,126.9341521,
1072,홍은도담도서관,14,서대문구,서울특별시 서대문구 홍은중앙로 129,02-360-8640,02-395-8650,http://lib.sdm.or.kr/,,매주 금요일,공공도서관,37.601779,126.948993,20111222
497,홍제1동 새싹작은도서관,14,서대문구,서울특별시 서대문구 통일로27길 19,02-330-8663,,lib.sdm.or.kr,,일요일 공휴일,작은도서관,37.5837515,126.948373,20081103
498,홍제2동 꿈이있는작은도서관,14,서대문구,서울특별시 서대문구 통일로34길 27,02-330-8453,,http://lib.sdm.or.kr,,토일요일 공휴일,작은도서관,37.5866402,126.949326,20080101
499,홍제3동 문화촌어린이작은도서관,14,서대문구,서울특별시 서대문구 세검정로4길 32,02-330-8991,,lib.sdm.or.kr,,일요일 공휴일,작은도서관,37.5942495,126.949735,20070401
2098,홍제천작은도서관,14,서대문구,서울특별시 서대문구 통일로 510 북한산더샵상가 지하1층 214호,,,,,토 일요일,작은도서관,37.59457109,126.9411689,
1745,KOTRA 무역자료실,7,서초구,서울특별시 서초구 헌릉로 13 KOTRA 본사 3층,02-3460-7404 7407(1호) 02-3460-7408 7405(2호),,http://news.kotra.or.kr/kotranews/subIndex/321.do,,토요일 일요일 공휴일,,37.465243,127.044949,
1539,LH서초3단지 행복도서관,7,서초구,서울특별시 서초구 양재대로 2길 34 우면동 LH서초 3단지 아파트,,,,,토요일일요일,작은도서관,37.4590087,127.0220098,20141120
1540,LH서초4단지 작은도서관,7,서초구,서울특별시 서초구 양재대로2길 33 우면동 LH서초 4단지 아파트,,,,,토요일,작은도서관,37.4582045,127.0235165,20141002
1635,LH서초5단지 작은도서관,7,서초구,서울특별시 서초구 양재대로2길 11,,,,,토요일일요일,작은도서관,37.4601217,127.0250874,
1735,국립국악원 국악자료실,7,서초구,서울특별시 서초구 남부순환로 2364 국립국악원 국악박물관 306호,02-580-3081,,http://www.gugak.go.kr/site/homepage/menu/viewMenu?menuid=001003004001,,토요일 일요일 법정공휴일,,37.478609,127.011307,
1736,국립외교원 도서관,7,서초구,서울특별시 서초구 남부순환로 2572,02-3497-7664,,http://www.mofa.go.kr/ifanslib.html,,토요일 일요일 법정공휴일,,37.48348,127.030872,
1,국립중앙도서관,7,서초구,서울특별시 서초구 반포대로 201,02-535-4142,02-590-0530,http://www.nl.go.kr,,둘째넷째 월요일/법정공휴일(일요일제외),공공도서관,37.49719,127.003303,19451015
1984,내곡도서관,7,서초구,서울특별시 서초구 청계산로7길 9-20 ,02-3461-3007,,http://naegok.seocholib.or.kr,,매주 월요일 및 법정공휴일,공공도서관,37.45200217,127.0544427,
1531,너나울 도서관,7,서초구,서울특별시 서초구 양재대로 2길 90 엘에이치스타힐스,070-7014-0773,,,,토요일일요일,작은도서관,37.4574996,127.017529,20140707
1532,네이처힐3단지작은도서관(꿈찾는도서관),7,서초구,서울특별시 서초구 태봉로2길 60 서초네이처힐 3단지,070-8615-8387,,http://cafe.naver.com/findadreamlibrary,,일요일,작은도서관,37.464692,127.027889,20140707
1533,네이처힐4단지작은도서관,7,서초구,서울특별시 서초구 태봉로 2길 5 서초네이처힐4단지 404동 1층,02-577-5587,,,,토요일일요일,작은도서관,37.4640916,127.026069,20121001
1318,네이처힐5단지 작은도서관,7,서초구,서울특별시 서초구 태봉로2길 65 (네이처힐5단지) 508동 1층,02-577-6617,577-6618,,,토일요일,작은도서관,37.4629304,127.02421,20120917
1534,네이처힐6단지 작은도서관,7,서초구,서울특별시 서초구 태봉로 2길 30 서초네이처힐6단지 아파트,,,,,매주 일요일,작은도서관,37.4614595,127.026703,20121001
1535,네이처힐가든 작은도서관,7,서초구,서울특별시 서초구 형촌길 60 네이처힐가든 아파트,,,,,토요일일요일,작은도서관,37.4645531,127.020929,20140925
1744,대검찰청 검찰중앙도서실,7,서초구,서울특별시 서초구 반포대로 157 대검찰청 본관 4층,02-3480-2516,,,,토요일 일요일 법정공휴일,,37.493885,127.005067,
1733,대한민국예술원 도서실,7,서초구,서울특별시 서초구 반포대로37길 59,02-3479-7233,,,,토요일 일요일 법정공휴일,,37.49556,127.002483,
1906,대한민국학술원 도서실,7,서초구,서울특별시 서초구 반포대로37길 59 3층,02-3400-5255,,,,토요일 일요일 법정공휴일,,37.49556,127.002483,
1536,리본SH 작은도서관,7,서초구,서울특별시 서초구 바우뫼로 18길 20 양재리본타워1단지 아파트,070-8100-2180,02-529-3359,,,일요일,작은도서관,37.4736088,127.033003,20141029
1566,리본숲 SH 작은도서관,7,서초구,서울특별시 서초구 양재동 매헌로 16길 40 양재리본타워2단지 아파트,070-8108-5003,,http://cafe.naver.com/libon2library,,매주 일요일,작은도서관,37.4651239,127.0361276,20150401
1636,밀미리 작은도서관,7,서초구,서울특별시 서초구 논현로 7길 24,,,,,토요일일요일,작은도서관,37.4731368,127.0479291,
523,반포1동 작은도서관,7,서초구,서울특별시 서초구 사평로 273 반포1동주민센터,02-2155-7615,,http://public.seocholib.or.kr/docpub/,,토 일 공휴일,작은도서관,37.5050897,127.013359,19990101
524,반포2동 작은도서관,7,서초구,서울특별시 서초구 신반포로15길 16 반포2동주민센터,02-2155-7635,2155-7649,http://public.seocholib.or.kr/docpub/,,토 일 공휴일,작은도서관,37.5045804,126.99445,20010101
525,반포3동 작은도서관,7,서초구,서울특별시 서초구 신반포로23길 78 반포3동주민센터,02-2155-7670,2155-7679,http://public.seocholib.or.kr/docpub/,,토.일.공휴일,작은도서관,37.5121403,127.005579,19990601
526,반포4동 작은도서관,7,서초구,서울특별시 서초구 사평대로28길 70 반포4동주민센터,02-2155-7687,2155-7709,http://public.seocholib.or.kr/docpub/,,토 일 공휴일,작은도서관,37.4974317,127.000386,20000101
522,반포본동 작은도서관,7,서초구,서울특별시 서초구 신반포로 10 반포본동주민센터,02-2155-7577,2155-7589,http://public.seocholib.or.kr/docpub/,,토일 공휴일,작은도서관,37.5004772,126.986059,20000101
